planner,selected_score,selected_model_return,selected_true_return,samples_evaluated,first_action,selected_tail_gap,elite_model_error_mean,elite_pocket_mean,elite_disagreement_mean,elite_diversity,proposal_drift,proposal_std_mean,config,seed,optimal_true_return,optimal_first_action,repair,regret,label
cem,7.563071351702149,7.563071351702149,-6.093600667011161,1280,-0.7032565223703265,13.65667201871331,11.470647654741043,0.7192855554539352,1.6905806719382084,0.2026739325095907,1.2421595419311573,0.2026739325095907,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 3, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",3,7.807605775972178,0.99834239909575,none,13.90120644298334,vanilla CEM
cem_uncertainty,7.479790151848942,7.527479906780491,7.527479906778209,1280,1.0,2.2817303602096217e-12,3.211523354943543e-11,7.776927586123412e-15,0.0346106216849467,0.096285932602072,1.6705307460868697,0.096285932602072,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 3, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",3,7.807605775972178,0.99834239909575,uncertainty_pessimism,0.2801258691939683,uncertainty CEM
cem_diversity,7.150327568323397,7.150327568323397,-5.2334002746433725,1280,-1.0,12.38372784296677,9.385742731959088,0.5900405632052854,1.4422751519500414,0.3165391750592755,1.1555179570575946,0.3165391750592755,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 3, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",3,7.807605775972178,0.99834239909575,elite_diversity_floor,13.04100605061555,diversity floor
cem_veto,7.53845308631085,7.53845308631085,7.538453086308244,1280,0.9799258857155216,2.605915483400168e-12,2.8958989052905684e-11,5.210477121629879e-15,0.0333844036152704,0.0873878341295235,1.670273692939617,0.0873878341295235,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 3, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",3,7.807605775972178,0.99834239909575,model_disagreement_veto,0.269152689663934,disagreement veto
cem_shadow,5.960667289360884,6.068386667841862,6.0683866673108735,1280,0.6404967221339198,5.309885864335229e-10,2.425816701504255,0.1647974292061294,0.4658566916562836,0.550407925314407,0.5766337090000095,0.550407925314407,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 3, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",3,7.807605775972178,0.99834239909575,shadow_realism,1.7392191086613042,shadow realism
cem_conservative,6.068386667841862,6.068386667841862,6.0683866673108735,1280,0.6404967221339198,5.309885864335229e-10,1.5862696390218514,0.1028468329304242,0.3205920053616805,0.6554850545703969,1.157100208083984,1.1798730982267145,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 3, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",3,7.807605775972178,0.99834239909575,conservative_refit_temperature,1.7392191086613042,conservative CEM
cem_pilot_calibrated,7.553713544672624,7.553713544672624,7.55371354466979,1280,0.970705579979637,2.8341773372631e-12,2.677567569374053e-11,4.5479995725878415e-15,0.0337697864098315,0.0857855554889508,1.6809426624101127,0.0857855554889508,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 3, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",3,7.807605775972178,0.99834239909575,pilot_label_calibration,0.2538922313023874,pilot calibrated
cem_combined_repair,7.008761012023466,7.0777752347324006,7.0777752337810425,1280,0.6271612019778618,9.51358103407074e-10,4.4166931992059787e-08,5.467710346491074e-10,0.0509674722741943,0.2589335842277741,1.7128977811385184,0.3754536971302724,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 3, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",3,7.807605775972178,0.99834239909575,combined,0.7298305421911353,combined repair
random_shooting,5.441599766291184,5.441599766291184,5.441599755695793,256,0.4863662095061805,1.0595391231049689e-08,4.5502994453937005,0.3013500626810452,0.7666454535272482,0.5842160196528804,0.4163006855784859,0.5842160196528804,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 4, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",4,7.808428259246064,1.0,,2.3668285035502707,random shooting
static_proposal,4.850911668889512,4.850911668889512,-3.8020940868099,256,-1.0,8.65300575569941,4.363555371514402,0.2894687025904769,0.7321073562644553,0.6448041205442849,0.2382847581949728,0.6448041205442849,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 4, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",4,7.808428259246064,1.0,,11.610522346055964,static proposal
